Timestamp,Thermocouple 1,Thermocouple 2,Thermocouple 3,Thermocouple 4,Thermocouple 5,Thermocouple 6,Thermocouple 7,Phase (Blue),Phase (Yellow),Phase (Red),Air Temperature
2015-03-19 00:00:00,15.23,15.3,15.34,15.69,15.66,15.97,16.32,23.46,26.73,25.63,14.97
2015-03-19 00:05:00,15.22,15.28,15.32,15.67,15.65,15.96,16.31,24.68,27.88,26.67,14.95
2015-03-19 00:10:00,15.22,15.28,15.32,15.67,15.65,15.95,16.3,24.94,28.88,27.17,14.94
2015-03-19 00:15:00,15.21,15.27,15.31,15.66,15.63,15.94,16.3,23.61,27.05,25.99,14.92
2015-03-19 00:20:00,15.21,15.28,15.31,15.67,15.64,15.95,16.3,24.27,28.29,26.61,14.92
2015-03-19 00:25:00,15.22,15.28,15.32,15.67,15.64,15.95,16.3,23.22,27.19,25.66,14.92
2015-03-19 00:30:00,15.22,15.28,15.32,15.68,15.65,15.96,16.31,22.87,26.04,25.01,14.92
2015-03-19 00:35:00,15.2,15.26,15.3,15.66,15.63,15.94,16.29,22.56,26.54,24.81,14.9
2015-03-19 00:40:00,15.2,15.26,15.3,15.66,15.63,15.94,16.28,22.89,26.6,24.37,14.9
2015-03-19 00:45:00,15.2,15.26,15.3,15.66,15.63,15.94,16.29,21.36,25.0,23.15,14.9
2015-03-19 00:50:00,15.2,15.27,15.3,15.66,15.63,15.93,16.29,20.53,24.49,22.66,14.9
2015-03-19 00:55:00,15.2,15.25,15.29,15.65,15.62,15.93,16.28,20.73,24.43,23.59,14.88
2015-03-19 01:00:00,15.2,15.25,15.29,15.65,15.62,15.93,16.28,21.56,26.11,24.77,14.88
2015-03-19 01:05:00,15.2,15.26,15.3,15.66,15.63,15.94,16.28,23.16,27.2,25.63,14.88
2015-03-19 01:10:00,15.21,15.27,15.3,15.67,15.63,15.94,16.29,22.69,25.9,24.9,14.88
2015-03-19 01:15:00,15.2,15.26,15.29,15.66,15.63,15.93,16.28,21.09,24.14,23.1,14.86
2015-03-19 01:20:00,15.19,15.25,15.29,15.66,15.62,15.93,16.27,20.07,22.76,22.11,14.85
2015-03-19 01:25:00,15.2,15.25,15.29,15.66,15.62,15.93,16.28,19.92,22.3,21.45,14.85
2015-03-19 01:30:00,15.19,15.24,15.28,15.65,15.62,15.92,16.27,19.93,22.9,21.79,14.84
2015-03-19 01:35:00,15.18,15.23,15.27,15.64,15.61,15.91,16.26,22.38,25.17,23.64,14.83
2015-03-19 01:40:00,15.18,15.24,15.27,15.64,15.62,15.91,16.26,21.56,24.35,22.61,14.83
2015-03-19 01:45:00,15.19,15.24,15.28,15.65,15.62,15.92,16.26,20.96,23.95,22.53,14.83
2015-03-19 01:50:00,15.2,15.24,15.28,15.65,15.62,15.92,16.27,20.6,23.76,22.32,14.83
2015-03-19 01:55:00,15.18,15.23,15.27,15.64,15.61,15.91,16.26,20.52,23.3,22.48,14.81
2015-03-19 02:00:00,15.18,15.24,15.27,15.65,15.62,15.91,16.26,19.3,22.2,21.15,14.8
2015-03-19 02:05:00,15.18,15.23,15.26,15.64,15.6,15.91,16.25,19.82,22.73,21.64,14.78
2015-03-19 02:10:00,15.18,15.23,15.27,15.64,15.62,15.91,16.26,18.73,21.93,21.14,14.78
2015-03-19 02:15:00,15.18,15.24,15.27,15.65,15.62,15.91,16.26,19.54,23.56,22.0,14.77
2015-03-19 02:20:00,15.17,15.22,15.26,15.64,15.6,15.9,16.25,21.2,24.32,22.64,14.75
2015-03-19 02:25:00,15.15,15.2,15.24,15.61,15.58,15.88,16.22,19.52,22.76,21.17,14.71
2015-03-19 02:30:00,15.16,15.21,15.25,15.63,15.59,15.89,16.24,20.46,22.8,21.58,14.71
2015-03-19 02:35:00,15.15,15.2,15.24,15.62,15.58,15.88,16.23,20.73,22.83,21.97,14.68
2015-03-19 02:40:00,15.14,15.2,15.23,15.61,15.58,15.87,16.22,19.61,21.43,20.74,14.66
2015-03-19 02:45:00,15.15,15.2,15.24,15.62,15.58,15.88,16.23,20.13,22.08,21.45,14.66
2015-03-19 02:50:00,15.16,15.2,15.24,15.62,15.58,15.88,16.23,18.43,20.13,19.46,14.65
2015-03-19 02:55:00,15.15,15.2,15.24,15.61,15.58,15.88,16.23,18.3,19.74,19.52,14.64
2015-03-19 03:00:00,15.15,15.2,15.23,15.61,15.57,15.87,16.22,17.45,18.89,19.03,14.62
2015-03-19 03:05:00,15.15,15.2,15.24,15.62,15.58,15.88,16.23,18.26,19.56,19.16,14.61
2015-03-19 03:10:00,15.14,15.2,15.23,15.61,15.58,15.87,16.22,20.17,22.29,21.26,14.59
2015-03-19 03:15:00,15.15,15.19,15.23,15.61,15.58,15.87,16.22,20.48,22.97,21.71,14.57
2015-03-19 03:20:00,15.15,15.2,15.23,15.62,15.58,15.87,16.22,19.84,21.56,20.26,14.56
2015-03-19 03:25:00,15.14,15.19,15.22,15.61,15.57,15.87,16.21,17.32,19.04,18.04,14.53
